Alternatives,Bar,Friday,Hungry,Patrons,Price,Rain,Reservation,Food,WaitEstimate,WillWait
True,False,False,True,Some,$$$,False,True,French,0,True
True,False,False,True,Some,$$$,False,True,French,9,True
True,False,False,True,Full,$,False,False,Thai,30,False
True,False,False,True,Full,$,False,False,Thai,59,False
False,True,False,False,Some,$,False,False,Burger,0,True
False,True,False,False,Some,$,False,False,Burger,9,True
True,False,True,True,Full,$,False,False,Thai,10,True
True,False,True,True,Full,$,False,False,Thai,29,True
True,False,True,False,Full,$$$,False,True,French,60,False
True,False,True,False,Full,$$$,False,True,French,60,False
False,True,False,True,Some,$$,True,True,Italian,0,True
False,True,False,True,Some,$$,True,True,Italian,9,True
False,True,False,False,None,$,True,False,Burger,0,False
False,True,False,False,None,$,True,False,Burger,9,False
False,False,False,True,Some,$$,True,True,Thai,0,True
False,False,False,True,Some,$$,True,True,Thai,9,True
False,True,True,False,Full,$,True,False,Burger,60,False
False,True,True,False,Full,$,True,False,Burger,60,False
True,True,True,True,Full,$$$,False,True,Italian,10,False
True,True,True,True,Full,$$$,False,True,Italian,29,False
False,False,False,False,None,$,False,False,Thai,0,False
False,False,False,False,None,$,False,False,Thai,9,False
True,True,True,True,Full,$,False,False,Burger,30,True
True,True,True,True,Full,$,False,False,Burger,59,True
